iter	Logloss
0	0.6140229354
1	0.5454704122
2	0.4893990158
3	0.4418419371
4	0.3994092143
5	0.3638885714
6	0.3323515114
7	0.3043460711
8	0.2787579908
9	0.2560913519
10	0.2363545519
11	0.2198948853
12	0.2041034239
13	0.1892393288
14	0.176159484
15	0.1645239756
16	0.1541984937
17	0.1455358194
18	0.1370754485
19	0.1291483237
20	0.1225776185
21	0.1158658291
22	0.1099095771
23	0.1043516551
24	0.09918528888
25	0.09459803155
26	0.09010647172
27	0.08620440977
28	0.08264974499
29	0.07940736595
30	0.07624279049
31	0.07343430215
32	0.07078170776
33	0.06810691238
34	0.06583872044
35	0.06401697254
36	0.06190052438
37	0.0604910235
38	0.05918448698
39	0.05776092313
40	0.05685296566
41	0.05588318304
42	0.05475483346
43	0.05391288379
44	0.05287475045
45	0.0517119712
46	0.0502432857
47	0.04940824035
48	0.0486354909
49	0.04755853423
50	0.04649855161
51	0.04568985202
52	0.04513435905
53	0.04466790274
54	0.04384984767
55	0.04339759773
56	0.04254921988
57	0.04201801922
58	0.04120700917
59	0.04061810649
60	0.04000682966
61	0.03968811576
62	0.03916741229
63	0.03867680976
64	0.03835574211
65	0.03796480869
66	0.0375388558
67	0.03713277722
68	0.03663696668
69	0.03633041923
70	0.03594266202
71	0.03547816987
72	0.03531492517
73	0.03477733964
74	0.03437055764
75	0.03406112346
76	0.03382044041
77	0.03338913613
78	0.03297012275
79	0.03256322171
80	0.0321690255
81	0.03178040525
82	0.03149614266
83	0.0313134863
84	0.0309001138
85	0.03052943886
86	0.03027285853
87	0.02998171056
88	0.0295686059
89	0.02936992239
90	0.02893972194
91	0.02869464523
92	0.0285480851
93	0.02830548117
94	0.0280832223
95	0.02782695851
96	0.02761507778
97	0.02739812973
98	0.02723723608
99	0.02699286549
